name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Pygoscelis adeliae	9238	species	46232211	5626	1359	0.0
Spheniscus	9239	genus	0	1	0	0.0
Spheniscus humboldti	9240	species	221972	19	12	0.0
Trochiliformes	9241	order	0	62	0	0.0
Trochilidae	9242	family	0	184	4	0.0
Calypte	9243	genus	0	73	0	0.0
Calypte anna	9244	species	31486505	5283	2557	0.0
Turnix sylvaticus	9248	species	37577	10	0	0.0
Podilymbus podiceps	9252	species	18214	3	2	0.0
Monotremata	9255	order	0	179	0	0.0
Ornithorhynchidae	9256	family	0	171	0	0.0
Ornithorhynchus	9257	genus	0	146	0	0.0
Ornithorhynchus anatinus	9258	species	72880027	26828	12923	0.0
Tachyglossidae	9259	family	0	4	0	0.0
Tachyglossus	9260	genus	0	2	0	0.0
Tachyglossus aculeatus	9261	species	987179	626	312	0.0
Didelphidae	9265	family	0	377	0	0.0
Didelphis	9266	genus	0	8	0	0.0
Didelphis virginiana	9267	species	2899961	2297	1241	0.0
Didelphis marsupialis	9268	species	67164	7	2	0.0
Marmosa	9269	genus	0	1	0	0.0
Philander	9271	genus	0	2	0	0.0
Philander opossum	9272	species	45911	7	3	0.0
Thylacinus cynocephalus	9275	species	40519	9	1	0.0
Dasyuridae	9277	family	0	158	7	0.0
Dasyurus	9278	genus	0	1	0	0.0
Dasyurus hallucatus	9280	species	50031	21	15	0.0
Dasyurus maculatus	9281	species	21301	9	0	0.0
Antechinus stuartii	9283	species	33926	16	6	0.0
Antechinus swainsonii	9284	species	26054	6	2	0.0
Parantechinus apicalis	9291	species	71675	22	2	0.0
Phascogale tapoatafa	9293	species	81490	9	4	0.0
Phascolosorex dorsalis	9295	species	51101	4	2	0.0
Planigale maculata	9297	species	21720	1	0	0.0
Pseudantechinus	9298	genus	0	14	0	0.0
Pseudantechinus macdonnellensis	9299	species	47678	11	5	0.0
Sminthopsis	9300	genus	0	4	1	0.0
Sminthopsis crassicaudata	9301	species	92666	31	16	0.0
Sminthopsis macroura	9302	species	779862	679	457	0.0
Sarcophilus	9304	genus	0	122	0	0.0
Sarcophilus harrisii	9305	species	59371684	23001	8909	0.0
Macropodidae	9307	family	0	10	1	0.0
Potorous tridactylus	9310	species	62214	12	7	0.0
Macropus	9312	genus	0	29	0	0.0
Macropus agilis	9313	species	15772	13	12	0.0
Macropus antilopinus	9314	species	37649	2	2	0.0
Macropus eugenii	9315	species	17066167	9727	5433	0.0
Macropus fuliginosus	9316	species	93622	9	2	0.0
Macropus giganteus	9317	species	116519	11	5	0.0
Macropus robustus	9319	species	65265	17	6	0.0
Macropus rufogriseus	9320	species	61137	4	2	0.0
Macropus rufus	9321	species	57527	2	1	0.0
Petrogale	9324	genus	0	1	1	0.0
Petrogale xanthopus	9325	species	27663	4	2	0.0
Thylogale billardierii	9327	species	51284	12	11	0.0
Thylogale stigmatica	9328	species	14599	4	4	0.0
Wallabia bicolor	9330	species	49378	2	1	0.0
Pseudocheirus peregrinus	9333	species	52952	12	9	0.0
Phalangeridae	9335	family	0	1	0	0.0
Trichosurus vulpecula	9337	species	316572	82	38	0.0
Peramelidae	9342	family	0	7	0	0.0
Perameles nasuta	9344	species	26659	11	0	0.0
Myrmecophagidae	9349	family	0	4	0	0.0
Tamandua mexicana	9351	species	16748	12	8	0.0
Bradypus tridactylus	9354	species	82669	30	15	0.0
Bradypus variegatus	9355	species	90381	7	1	0.0
Choloepus	9357	genus	0	5	0	0.0
Choloepus hoffmanni	9358	species	2648271	2090	904	0.0
Dasypodidae	9359	family	0	621	0	0.0
Dasypus	9360	genus	0	392	1	0.0
Dasypus novemcinctus	9361	species	110972801	33597	10272	0.0
Insectivora	9362	order	0	296	0	0.0
Erinaceidae	9363	family	0	379	0	0.0
Erinaceus	9364	genus	0	306	0	0.0
Erinaceus europaeus	9365	species	61916501	12635	4441	0.0
Atelerix	9367	genus	0	10	0	0.0
Atelerix albiventris	9368	species	2875268	3230	1243	0.0
Tenrecidae	9369	family	0	195	0	0.0
Echinops	9370	genus	0	186	0	0.0
Echinops telfairi	9371	species	43137919	8963	4182	0.0
Talpidae	9373	family	0	602	0	0.0
Talpa	9374	genus	0	1	0	0.0
Talpa europaea	9375	species	177143	20	9	0.0
Soricidae	9376	family	0	324	1	0.0
Suncus	9377	genus	0	4	0	0.0
Suncus murinus	9378	species	158957	66	16	0.0
Sorex	9379	genus	0	192	0	0.0
Sorex haydeni	9383	species	19804	17	2	0.0
Blarina brevicauda	9387	species	142556	1	1	0.0
Chrysochloridae	9389	family	0	362	0	0.0
Amblysomus	9390	genus	0	1	0	0.0
Amblysomus hottentotus	9391	species	66561	16	0	0.0
Scandentia	9392	order	0	37	0	0.0
Tupaiidae	9393	family	0	714	0	0.0
Tupaia	9394	genus	0	367	0	0.0
Tupaia glis	9395	species	121095	49	12	0.0
Chiroptera	9397	order	0	726	0	0.0
Pteropodidae	9398	family	0	1486	12	0.0
Cynopterus	9399	genus	0	4	0	0.0
Cynopterus sphinx	9400	species	741124	48	15	0.0
Pteropus	9401	genus	0	1038	0	0.0
Pteropus alecto	9402	species	100807228	19609	2213	0.0
Pteropus hypomelanus	9405	species	59852	31	17	0.0
Rousettus	9406	genus	0	425	0	0.0
Rousettus aegyptiacus	9407	species	237147151	58838	14974	0.0
Rousettus leschenaultii	9408	species	322575	23	10	0.0
Megadermatidae	9409	family	0	1	0	0.0
Macroderma gigas	9411	species	28827	1	1	0.0
Megaderma lyra	9413	species	103758	58	37	0.0
Phyllostomidae	9415	family	0	11	0	0.0
Artibeus	9416	genus	0	2	0	0.0
Artibeus jamaicensis	9417	species	828662	444	242	0.0
Macrotus californicus	9419	species	104662	4	2	0.0
Brachyphylla cavernarum	9421	species	65910	1	0	0.0
Tonatia bidens	9426	species	26568	14	1	0.0
Desmodus rotundus	9430	species	903004	30	17	0.0
Vespertilionidae	9431	family	0	1963	0	0.0
Miniopterus	9432	genus	0	348	1	0.0
Miniopterus schreibersii	9433	species	369183	24	13	0.0
Myotis	9434	genus	0	1628	4	0.0
Myotis velifer	9435	species	105905	4	1	0.0
Molossidae	9436	family	0	1	0	0.0
Tadarida brasiliensis	9438	species	155121	29	8	0.0
Antrozous pallidus	9440	species	101838	14	5	0.0
Primates	9443	order	0	10439	143	0.0
Lemuridae	9445	family	0	10	0	0.0
Lemur	9446	genus	0	11	0	0.0
Lemur catta	9447	species	2675767	1613	672	0.0
Lepilemur	9452	genus	0	11	0	0.0
Lepilemur mustelinus	9453	species	106824	1	1	0.0
Varecia	9454	genus	0	2	0	0.0
Varecia variegata	9455	species	212274	32	10	0.0
Cheirogaleus	9459	genus	0	1	0	0.0
Cheirogaleus medius	9460	species	376721	31	15	0.0
Galago	9462	genus	0	3	0	0.0
Otolemur crassicaudatus	9463	species	207364	67	35	0.0
Galago sp.	9464	species	2749	1	1	0.0
Galago senegalensis	9465	species	102697	13	6	0.0
Loris	9467	genus	0	1	0	0.0
Loris tardigradus	9468	species	74230	15	5	0.0
Nycticebus	9469	genus	0	5	0	0.0
Nycticebus coucang	9470	species	177493	41	17	0.0
